日付	始値	高値	安値	終値	前日比	出来高	売買代金	貸株残高	融資残高	貸借倍率	5DMA	25DMA	75DMA	100DMA	200DMA
2021/02/12	737.7	737.8	723.7	734.9	-2.1	4781200	3497819	4400	372000	84.55	738.74	728.72	664.40	650.86	592.29
2021/02/10	737.0	746.4	735.1	737.0	-3.5	4787600	3544459	51300	341300	6.65	738.12	727.23	662.37	650.10	591.11
2021/02/09	754.1	754.9	732.0	740.5	-3.3	7471900	5540337	50700	356300	7.03	742.28	724.85	660.45	649.35	589.91
2021/02/08	739.9	755.5	739.3	743.8	6.3	7837000	5853818	114900	380000	3.31	737.72	722.04	658.41	648.50	588.72
2021/02/05	744.8	747.7	733.3	737.5	5.7	5825200	4305594	110300	358800	3.25	729.60	719.73	656.44	647.63	587.51
2021/02/04	751.7	755.0	730.1	731.8	-26.0	8163100	6025267	98100	370000	3.77	720.96	717.99	654.39	646.68	586.31
2021/02/03	730.0	758.9	724.2	757.8	40.1	12834200	9570945	180900	149900	0.83	716.14	716.05	652.44	645.89	585.24
2021/02/02	706.8	719.8	703.2	717.7	14.5	4545700	3246978	93100	178700	1.92	707.86	712.90	650.24	644.83	584.03
2021/02/01	689.2	708.2	689.0	703.2	8.9	3548700	2493787	89400	225400	2.52	705.42	711.09	648.70	644.12	583.02
2021/01/29	706.0	711.4	693.9	694.3	-13.4	5867700	4105816	97200	212200	2.18	708.48	709.36	647.39	643.59	582.10
2021/01/28	691.0	713.7	688.0	707.7	-8.7	14338300	10132470	372900	178900	0.48	714.08	708.21	646.24	643.11	581.16
2021/01/27	709.2	717.8	708.1	716.4	10.9	5939100	4237504	137600	199200	1.45	718.46	707.01	644.99	642.51	580.12
2021/01/26	716.9	724.0	703.0	705.5	-13.0	5960300	4228969	145300	196900	1.36	720.16	705.80	643.69	641.74	579.03
2021/01/25	723.6	725.9	716.4	718.5	-3.8	3602700	2591258	164900	205900	1.25	724.54	704.82	642.55	640.53	578.10
2021/01/22	720.1	727.7	719.8	722.3	-7.3	3960200	2861762	177300	186900	1.05	726.96	703.46	641.20	639.18	577.21
2021/01/21	730.8	738.0	726.8	729.6	4.7	5683800	4156445	185500	188300	1.02	730.90	701.38	639.57	637.86	576.41
2021/01/20	726.1	727.6	718.8	724.9	-2.5	4826700	3490106	157100	200300	1.27	735.72	699.50	637.77	636.47	575.71
2021/01/19	732.8	740.0	725.1	727.4	-3.2	6492600	4752546	200800	194400	0.97	740.50	697.37	636.03	634.99	574.84
2021/01/18	731.7	732.9	718.7	730.6	-11.4	5419600	3944785	222700	212400	0.95	742.42	694.77	634.65	633.50	574.32
2021/01/15	750.0	754.0	740.5	742.0	-11.7	6119200	4563177	224900	227000	1.01	741.70	691.66	633.35	631.85	573.54
2021/01/14	751.5	764.2	749.8	753.7	4.9	7054200	5339283	265700	216700	0.82	738.90	687.51	631.78	630.14	572.52
2021/01/13	735.0	750.0	729.3	748.8	11.8	5350400	3985542	287800	273300	0.95	727.72	682.90	630.04	628.38	571.36
