日付	始値	高値	安値	終値	前日比	出来高	売買代金	貸株残高	融資残高	貸借倍率	5DMA	25DMA	75DMA	100DMA	200DMA
2021/02/12	95940.0	97020.0	95210.0	95550.0	20.0	660600	63293503	267600	2500	0.01	94410.00	92034.00	85850.53	81360.20	70396.10
2021/02/10	94650.0	95530.0	94220.0	95530.0	400.0	468300	44502099	255000	5300	0.02	93504.00	91690.40	85541.60	81063.80	70172.75
2021/02/09	93630.0	95480.0	92820.0	95130.0	1500.0	594800	56221998	259700	5400	0.02	92838.00	91436.00	85229.07	80769.40	69934.50
2021/02/08	91920.0	93740.0	91690.0	93630.0	1420.0	624000	58167613	234700	7500	0.03	92114.00	91272.80	84936.00	80489.90	69701.05
2021/02/05	92190.0	92970.0	91350.0	92210.0	1190.0	494000	45542896	187400	7900	0.04	91692.00	91226.40	84665.33	80217.80	69476.85
2021/02/04	92200.0	92920.0	91020.0	91020.0	-1180.0	379400	34831239	166600	8100	0.05	91214.00	91170.40	84414.93	79961.00	69247.55
2021/02/03	91060.0	92280.0	90320.0	92200.0	690.0	500000	45867611	174600	8000	0.05	91102.00	91005.60	84140.27	79723.20	69033.40
2021/02/02	91520.0	91760.0	90260.0	91510.0	-10.0	380500	34693390	159900	8200	0.05	90798.00	90770.40	83839.60	79461.90	68807.15
2021/02/01	90030.0	91550.0	89650.0	91520.0	1700.0	367200	33305834	174300	8100	0.05	90824.00	90546.80	83536.53	79204.90	68581.70
2021/01/29	91100.0	91890.0	89480.0	89820.0	-640.0	516300	46707392	152400	8300	0.05	91320.00	90258.80	83238.27	78949.00	68339.60
2021/01/28	88800.0	91250.0	88780.0	90460.0	-220.0	462000	41648400	147400	9400	0.06	91720.00	90042.80	82963.60	78687.30	68103.00
2021/01/27	92290.0	92700.0	90470.0	90680.0	-960.0	382700	34949245	140100	9000	0.06	92002.00	89781.60	82654.67	78416.50	67858.55
2021/01/26	93600.0	93680.0	91400.0	91640.0	-2360.0	532400	49027809	157700	20700	0.13	92088.00	89536.80	82332.13	78142.50	67609.85
2021/01/25	92030.0	94000.0	91460.0	94000.0	2180.0	499400	46588070	246000	6000	0.02	92354.00	89243.20	81999.60	77839.20	67361.40
2021/01/22	91820.0	92330.0	91130.0	91820.0	-50.0	324400	29784249	182000	7600	0.04	91596.00	88880.40	81636.80	77532.60	67112.35
2021/01/21	92190.0	92400.0	91160.0	91870.0	760.0	323100	29644054	177700	7400	0.04	91430.00	88582.80	81299.20	77249.80	66869.95
2021/01/20	93500.0	93500.0	90900.0	91110.0	-1860.0	562400	51545635	165900	8300	0.05	91788.00	88280.00	80952.40	76966.40	66632.75
2021/01/19	91420.0	93540.0	91040.0	92970.0	2760.0	677900	62895729	228100	6200	0.03	91992.00	87996.80	80615.73	76676.40	66396.20
2021/01/18	89790.0	90850.0	88970.0	90210.0	-780.0	372200	33551959	177900	15800	0.09	91620.00	87683.60	80257.47	76357.30	66183.55
2021/01/15	93800.0	94640.0	90550.0	90990.0	-2670.0	848400	77754111	192400	14500	0.08	91924.00	87515.60	79927.33	76061.60	65964.35
2021/01/14	92170.0	95310.0	91510.0	93660.0	1530.0	860200	80662666	265700	4800	0.02	91396.00	87292.00	79578.13	75764.20	65713.15
2021/01/13	91120.0	92750.0	90720.0	92130.0	1020.0	481300	44248446	246600	5200	0.02	90056.00	86956.40	79184.27	75437.10	65445.80
2021/01/12	90760.0	92220.0	90010.0	91110.0	-620.0	582900	53130851	235200	4600	0.02	89464.00	86728.00	78817.47	75126.00	65189.65
2021/01/08	89620.0	91730.0	88850.0	91730.0	3380.0	967600	87806982	250400	2100	0.01	89452.00	86590.40	78467.60	74830.80	64953.00
2021/01/07	87950.0	88430.0	86960.0	88350.0	1390.0	692100	60859878	193900	2700	0.01	89600.00	86408.80	78106.80	74526.90	64724.35
2021/01/06	88640.0	88990.0	86850.0	86960.0	-2210.0	632200	55439440	178700	2600	0.01	90092.00	86377.20	77802.27	74244.50	64513.75
2021/01/05	90100.0	90560.0	89170.0	89170.0	-1880.0	560900	50250273	248500	2400	0.01	90080.00	86336.40	77521.60	73971.20	64323.20
2021/01/04	93970.0	94180.0	91000.0	91050.0	-1420.0	652100	60097374	304200	2200	0.01	89510.00	86134.80	77213.87	73669.80	64136.10
2020/12/30	91450.0	93030.0	91040.0	92470.0	1660.0	911100	83920324	350700	2200	0.01	88484.00	85836.40	76895.60	73347.40	63944.60
2020/12/29	87230.0	91180.0	86780.0	90810.0	3910.0	830400	74340420	349700	2300	0.01	86854.00	85484.80	76548.27	73009.30	63747.85
2020/12/28	86470.0	87230.0	85560.0	86900.0	580.0	400400	34683532	245100	2400	0.01	85576.00	85172.40	76224.53	72690.80	63567.65
2020/12/25	85930.0	86590.0	85820.0	86320.0	400.0	207000	17865016	236400	2600	0.01	84982.00	84941.60	75962.40	72398.40	63408.35
2020/12/24	84880.0	86080.0	84740.0	85920.0	1600.0	363700	31150852	234700	3300	0.01	84630.00	84818.80	75692.40	72095.70	63247.45
2020/12/23	84420.0	84750.0	84080.0	84320.0	-100.0	214000	18059591	195800	3200	0.02	84306.00	84790.00	75424.27	71815.50	63085.45
2020/12/22	84280.0	84640.0	83710.0	84420.0	490.0	358400	30232942	211000	3000	0.01	84428.00	84914.80	75179.07	71555.60	62935.20
2020/12/21	84850.0	84890.0	83610.0	83930.0	-630.0	286400	24077402	196800	3100	0.02	84420.00	84976.80	74902.13	71293.90	62780.30
2020/12/18	84640.0	85130.0	83960.0	84560.0	260.0	436600	36938831	213600	3500	0.02	84494.00	84956.80	74628.13	71041.10	62635.65
2020/12/17	85450.0	85450.0	84300.0	84300.0	-630.0	278700	23599378	175200	2300	0.01	84388.00	84799.20	74344.40	70784.00	62494.50
2020/12/16	84800.0	85390.0	84390.0	84930.0	550.0	360300	30608877	208900	2000	0.01	84556.00	84593.20	74037.87	70534.40	62355.10
2020/12/15	84300.0	84770.0	83930.0	84380.0	80.0	228500	19263164	204000	2300	0.01	84772.00	84269.60	73750.00	70271.10	62224.75
2020/12/14	83400.0	84770.0	83260.0	84300.0	270.0	425000	35692801	192100	2300	0.01	84976.00	84026.80	73472.13	70022.70	62101.05
2020/12/11	84500.0	84950.0	83530.0	84030.0	-1110.0	685000	57687109	194400	2900	0.01	85170.00	83674.00	73195.20	69782.90	61979.50
2020/12/10	85600.0	85660.0	84730.0	85140.0	-870.0	412400	35118187	234800	1600	0.01	85648.00	83288.80	72902.93	69539.90	61853.85
