日付	始値	高値	安値	終値	前日比	出来高	売買代金	貸株残高	融資残高	貸借倍率	5DMA	25DMA	75DMA	100DMA	200DMA
2021/02/12	14740.0	14920.0	14610.0	14800.0	330.0	2395400	35445870	4400	49500	11.25	14406.00	14214.60	12835.00	12119.12	9790.63
2021/02/10	14580.0	14680.0	14420.0	14470.0	-145.0	1568400	22795475	7500	46000	6.13	14195.00	14153.80	12776.93	12068.68	9745.59
2021/02/09	14370.0	14620.0	14255.0	14615.0	405.0	2551500	36943905	9000	47200	5.24	14114.00	14108.20	12721.80	12020.51	9702.05
2021/02/08	14120.0	14300.0	13960.0	14210.0	275.0	1677600	23781661	2600	56100	21.58	14087.00	14049.40	12663.47	11970.72	9658.37
2021/02/05	13900.0	14030.0	13780.0	13935.0	190.0	2525100	35096962	100	79400	794.00	14084.00	14000.20	12610.80	11921.91	9615.89
2021/02/04	13865.0	14020.0	13535.0	13745.0	-320.0	2982900	41003442	1200	76100	63.42	14067.00	13966.60	12559.60	11872.60	9574.02
2021/02/03	14480.0	14480.0	13920.0	14065.0	-415.0	3023200	42734036	900	76300	84.78	14201.00	13933.60	12512.00	11824.86	9533.45
2021/02/02	14295.0	14485.0	14015.0	14480.0	285.0	2343800	33491125	1400	47500	33.93	14348.00	13885.80	12459.07	11773.17	9491.08
2021/02/01	13710.0	14270.0	13680.0	14195.0	345.0	1638100	23096876	3000	50700	16.90	14332.00	13818.60	12400.67	11717.57	9446.53
2021/01/29	14590.0	14590.0	13840.0	13850.0	-565.0	3079000	43419585	1300	58200	44.77	14357.00	13752.20	12347.07	11666.00	9402.89
2021/01/28	14330.0	14750.0	14330.0	14415.0	-385.0	3405500	49299786	2900	55700	19.21	14427.00	13696.60	12297.73	11616.25	9359.41
2021/01/27	14590.0	14800.0	14340.0	14800.0	400.0	2719000	39807274	1900	40900	21.53	14405.00	13629.00	12241.27	11560.91	9312.53
2021/01/26	14700.0	14975.0	14365.0	14400.0	80.0	4156900	60785591	2400	42800	17.83	14265.00	13549.20	12181.13	11502.02	9264.24
2021/01/25	14380.0	14400.0	14160.0	14320.0	120.0	1720700	24570002	3300	53200	16.12	14229.00	13488.60	12123.20	11445.69	9218.94
2021/01/22	14305.0	14340.0	14085.0	14200.0	-105.0	1764900	25081511	3100	61300	19.77	14199.00	13424.80	12065.17	11391.03	9175.38
2021/01/21	14275.0	14330.0	14130.0	14305.0	205.0	1654800	23617575	3300	55900	16.94	14069.00	13361.60	12006.97	11337.60	9133.04
2021/01/20	14320.0	14365.0	13980.0	14100.0	-120.0	1819000	25699741	3600	69700	19.36	14018.00	13296.40	11946.97	11282.61	9091.05
2021/01/19	14130.0	14280.0	14030.0	14220.0	50.0	2011400	28561583	4300	48600	11.30	14093.00	13230.80	11889.71	11229.67	9048.82
2021/01/18	13415.0	14200.0	13400.0	14170.0	620.0	2791500	39029274	10600	46000	4.34	14110.00	13158.00	11834.11	11176.39	9005.72
2021/01/15	14180.0	14195.0	13385.0	13550.0	-500.0	3337000	45770370	4000	92300	23.08	14081.00	13087.80	11774.72	11122.22	8960.62
2021/01/14	14585.0	14595.0	13910.0	14050.0	-425.0	3507100	50045645	2500	90300	36.12	14104.00	13055.20	11721.68	11076.61	8918.57
2021/01/13	14350.0	14495.0	14270.0	14475.0	170.0	1820200	26237515	3500	79200	22.63	13950.00	13004.80	11661.35	11027.14	8873.12
2021/01/12	14180.0	14320.0	14080.0	14305.0	280.0	2516800	35845634	1800	71000	39.44	13721.00	12949.00	11597.52	10972.82	8828.32
2021/01/08	13810.0	14025.0	13790.0	14025.0	360.0	2468500	34399917	1300	64800	49.85	13489.00	12896.20	11533.05	10920.53	8783.77
