日付,始値,高値,安値,終値,出来高,調整後終値
2021/7/2,2400,2412,2370.5,2382,2806500,2382
2021/7/1,2399,2404,2375,2394.5,2746900,2394.5
2021/6/30,2398,2405,2372,2394.5,4144400,2394.5
2021/6/29,2436.5,2445.5,2395.5,2395.5,4977300,2395.5
2021/6/28,2455,2492,2448,2465.5,4050900,2465.5
2021/6/25,2449.5,2482,2437,2445,3614600,2445
2021/6/24,2451,2465.5,2433,2443,2658800,2443
2021/6/23,2521,2526.5,2475.5,2475.5,4204500,2475.5
2021/6/22,2484,2546.5,2471,2531,5872100,2531
2021/6/21,2460.5,2463.5,2412.5,2440,4538200,2440
2021/6/18,2565,2567,2503,2510.5,7087000,2510.5
2021/6/17,2595,2601,2547,2554.5,4440200,2554.5
2021/6/16,2608.5,2611,2557.5,2601,5093100,2601
2021/6/15,2623.5,2643,2600,2620,5425200,2620
2021/6/14,2680,2685.5,2570,2609,8750700,2609
2021/6/11,2538,2583.5,2525,2573.5,7304400,2573.5
2021/6/10,2454,2510,2450,2497,4140800,2497
2021/6/9,2470.5,2491,2426,2452,3858200,2452
2021/6/8,2400,2496.5,2390,2483,6584000,2483
2021/6/7,2465.5,2472.5,2359,2366.5,6498300,2366.5
2021/6/4,2470,2489.5,2436,2441,4074800,2441
2021/6/3,2426.5,2505,2419.5,2472.5,3795600,2472.5
2021/6/2,2440,2473,2416,2425,7156400,2425
2021/6/1,2544,2544.5,2453,2465,5141900,2465
2021/5/31,2550,2602.5,2530,2530,5833600,2530
2021/5/28,2510,2563,2507.5,2532,21503300,2532
2021/5/27,2540,2554.5,2496.5,2511.5,16826400,2511.5
2021/5/26,2572.5,2611,2561,2561.5,6242500,2561.5
2021/5/25,2602.5,2606,2559.5,2567,4335600,2567
2021/5/24,2585,2616.5,2570.5,2575.5,4581500,2575.5
2021/5/21,2662,2688,2615.5,2632,3765100,2632
2021/5/20,2595,2639,2578,2626.5,3411100,2626.5
2021/5/19,2610,2633,2584,2623.5,4029500,2623.5
2021/5/18,2620,2682,2615.5,2639.5,4722600,2639.5
2021/5/17,2700.5,2705,2624.5,2633,3499200,2633
2021/5/14,2700.5,2728,2675,2702.5,3895100,2702.5
2021/5/13,2707.5,2740,2681,2694.5,2789800,2694.5
2021/5/12,2776,2795.5,2696,2721,4713600,2721
2021/5/11,2872.5,2889,2762.5,2782.5,3974900,2782.5
2021/5/10,2834,2963.5,2834,2922.5,4153400,2922.5
2021/5/7,2811,2832,2795,2815.5,3049000,2815.5
2021/5/6,2861.5,2889.5,2828,2845.5,4860900,2845.5
2021/4/30,2770,2822.5,2755,2787,5520200,2787
2021/4/28,2818,2845,2781.5,2815,5856100,2815
2021/4/27,3005,3005,2870,2905,5011300,2905
2021/4/26,3071,3071,2976,3009,3262600,3009
2021/4/23,3035,3093,3025,3075,2750900,3075
2021/4/22,2990,3039,2967,3036,3367000,3036
2021/4/21,2890,2963.5,2883,2954.5,4293600,2954.5
2021/4/20,2945,2951,2902.5,2921.5,3154400,2921.5
2021/4/19,3005,3009,2955,2983,1732800,2983
2021/4/16,3000,3011,2971,3005,2170400,3005
2021/4/15,2987,3033,2972.5,3015,1803300,3015
2021/4/14,2986.5,2997,2964,2978,2110100,2978
2021/4/13,2975,3012,2968.5,2986.5,2370100,2986.5
2021/4/12,2995.5,2998,2965,2976.5,1848800,2976.5
2021/4/9,2949.5,3009,2948,2990,4031300,2990
2021/4/8,2995,2997.5,2921.5,2941.5,3615300,2941.5
2021/4/7,3026,3049,2992,3001,4218600,3001
2021/4/6,3160,3175,3051,3065,3393500,3065
2021/4/5,3127,3162,3102,3161,2211900,3161
2021/4/2,3168,3172,3086,3112,2593500,3112
2021/4/1,3245,3263,3147,3155,2818900,3155
2021/3/31,3241,3300,3203,3225,4047800,3225
2021/3/30,3340,3345,3273,3301,3343900,3301
2021/3/29,3288,3327,3268,3298,4770000,3298
2021/3/26,3189,3284,3179,3265,2995000,3265
2021/3/25,3172,3186,3139,3163,3154400,3163
2021/3/24,3234,3243,3147,3149,2692000,3149
2021/3/23,3296,3346,3242,3244,3529700,3244
2021/3/22,3285,3293,3226,3230,3421400,3230
2021/3/19,3390,3415,3303,3347,4835300,3347
2021/3/18,3372,3438,3362,3408,4465000,3408
2021/3/17,3240,3324,3231,3320,2428900,3320
2021/3/16,3254,3273,3180,3262,3312700,3262
2021/3/15,3236,3249,3182,3212,3092000,3212
2021/3/12,3140,3231,3136,3223,7048600,3223
2021/3/11,3210,3222,3152,3161,4372500,3161
2021/3/10,3200,3249,3193,3200,3569800,3200
2021/3/9,3148,3205,3125,3180,4021400,3180
2021/3/8,3100,3144,3088,3105,3663600,3105
2021/3/5,3037,3099,3035,3095,3563700,3095
2021/3/4,3054,3056,2996,3033,3332600,3033
2021/3/3,3079,3127,3062,3093,3153300,3093
2021/3/2,3122,3145,3041,3103,3259000,3103
2021/3/1,3071,3135,3069,3095,2984400,3095
2021/2/26,3159,3165,3010,3010,6266800,3010
2021/2/25,3200,3205,3167,3179,3910100,3179
2021/2/24,3222,3246,3173,3173,4459300,3173
2021/2/22,3297,3318,3261,3261,3012300,3261
2021/2/19,3259,3305,3245,3304,2522300,3304
2021/2/18,3333,3360,3303,3316,2377200,3316
2021/2/17,3375,3384,3291,3302,2343200,3302
2021/2/16,3380,3393,3321,3349,3238200,3349
2021/2/15,3292,3369,3287,3368,3405400,3368
2021/2/12,3224,3268,3197,3251,4099900,3251
2021/2/10,3200,3203,3136,3195,3026400,3195
2021/2/9,3205,3225,3167,3214,3018500,3214
2021/2/8,3238,3238,3136,3225,4898900,3225
2021/2/5,3283,3305,3236,3242,4938600,3242
2021/2/4,3290,3310,3238,3243,3002200,3243
2021/2/3,3358,3368,3305,3325,3758600,3325
2021/2/2,3373,3381,3313,3358,2557900,3358
2021/2/1,3395,3474,3340,3368,2906700,3368
2021/1/29,3472,3504,3364,3365,4244700,3365
2021/1/28,3527,3543,3465,3466,4466400,3466
2021/1/27,3551,3593,3528,3531,4478300,3531
2021/1/26,3565,3596,3552,3554,3348300,3554
2021/1/25,3600,3634,3563,3586,3284700,3586
2021/1/22,3550,3603,3507,3580,3611800,3580
2021/1/21,3652,3684,3604,3609,3358300,3609
2021/1/20,3720,3728,3591,3601,3226600,3601
2021/1/19,3677,3757,3674,3750,2693700,3750
2021/1/18,3675,3734,3662,3665,1961900,3665
2021/1/15,3631,3688,3603,3674,3614700,3674
2021/1/14,3650,3723,3636,3647,3224000,3647
2021/1/13,3611,3642,3588,3635,3310400,3635
2021/1/12,3650,3696,3596,3640,3253400,3640
2021/1/8,3618,3654,3602,3645,4305600,3645
2021/1/7,3538,3626,3538,3613,3553300,3613
2021/1/6,3472,3561,3462,3479,3591200,3479
2021/1/5,3624,3655,3507,3510,3685700,3510
2021/1/4,3566,3627,3540,3615,2771400,3615
2020/12/30,3547,3588,3524,3535,2732500,3535
2020/12/29,3509,3612,3506,3592,3684600,3592
2020/12/28,3423,3485,3401,3465,1980900,3465
2020/12/25,3423,3424,3376,3376,864900,3376
2020/12/24,3440,3456,3391,3403,1622000,3403
2020/12/23,3347,3422,3330,3401,2852700,3401
2020/12/22,3309,3344,3286,3305,1795400,3305
2020/12/21,3300,3368,3272,3311,2136400,3311
2020/12/18,3349,3382,3307,3333,4309600,3333
2020/12/17,3458,3458,3321,3347,3226800,3347
2020/12/16,3431,3520,3424,3501,3454500,3501
2020/12/15,3345,3462,3342,3419,2846700,3419
2020/12/14,3370,3416,3345,3349,5340000,3349
2020/12/11,3375,3403,3358,3387,4869500,3387
2020/12/10,3348,3403,3340,3395,2778200,3395
2020/12/9,3373,3409,3369,3407,3484900,3407
2020/12/8,3449,3454,3365,3373,3810500,3373
2020/12/7,3478,3512,3470,3484,2533800,3484
2020/12/4,3506,3517,3431,3459,4685500,3459
2020/12/3,3661,3698,3507,3511,5925900,3511
2020/12/2,3674,3713,3639,3653,4774300,3653
2020/12/1,3719,3747,3613,3670,4603200,3670
2020/11/30,3900,3945,3671,3694,8969600,3694
2020/11/27,3816,3948,3807,3886,5496800,3886
2020/11/26,3645,3778,3630,3773,2586100,3773
2020/11/25,3699,3799,3688,3701,4254400,3701
2020/11/24,3577,3685,3575,3643,4253800,3643
2020/11/20,3577,3590,3514,3536,3159600,3536
2020/11/19,3508,3600,3498,3600,4319400,3600
2020/11/18,3478,3535,3473,3507,2761200,3507
2020/11/17,3522,3540,3446,3529,3253700,3529
2020/11/16,3475,3527,3449,3505,3477000,3505
2020/11/13,3498,3504,3428,3455,4017500,3455
2020/11/12,3497,3535,3452,3496,4909200,3496
2020/11/11,3390,3474,3365,3474,6062700,3474
2020/11/10,3340,3360,3262,3337,5388400,3337
2020/11/9,3200,3350,3194,3344,4948600,3344
2020/11/6,3182,3236,3175,3185,4587800,3185
2020/11/5,3078,3194,3059,3194,5410900,3194
2020/11/4,2928,3019,2913,2988.5,5220900,2988.5
2020/11/2,2831.5,2890,2787,2855.5,5305700,2855.5
2020/10/30,2750,2794,2630,2748,4991000,2748
2020/10/29,2662.5,2762,2660,2722.5,2385200,2722.5
2020/10/28,2643.5,2679,2622,2662.5,2114800,2662.5
2020/10/27,2673,2690,2650.5,2690,1765900,2690
2020/10/26,2677,2716.5,2676,2680,1133000,2680
2020/10/23,2698,2709.5,2658,2684,1833700,2684
2020/10/22,2729.5,2729.5,2660,2693,2308300,2693
2020/10/21,2743,2779,2731,2757,2228300,2757
2020/10/20,2758.5,2768.5,2727.5,2745,1967000,2745
2020/10/19,2707,2770,2703,2761,2066700,2761
2020/10/16,2741,2742.5,2686.5,2702.5,3239000,2702.5
2020/10/15,2782,2798,2754,2756,2253700,2756
2020/10/14,2800,2812,2786.5,2803,2421800,2803
2020/10/13,2819.5,2852,2785,2833,4190700,2833
2020/10/12,2870,2898.5,2823,2838,2839600,2838
2020/10/9,3003,3004,2863,2890.5,4714100,2890.5
2020/10/8,2988.5,3016,2955,2990,3041000,2990
2020/10/7,3035,3035,2958,2985,3762100,2985
2020/10/6,3083,3105,3034,3087,1622200,3087
2020/10/5,3115,3153,3077,3090,2296200,3090
2020/10/2,3217,3221,3058,3064,3327400,3064
2020/9/30,3318,3355,3220,3229,4133900,3229
2020/9/29,3233,3287,3175,3273,2095300,3273
2020/9/28,9840,9882,9729.99,9846,1260401,3282
2020/9/25,9766.98,9838.98,9709.98,9756,802701,3252
2020/9/24,9759.99,9829.98,9702.99,9732,712601,3244
2020/9/23,9784.98,9828,9553.98,9762,1073801,3254
2020/9/18,9946.98,9993,9630,9657,1910002,3219
2020/9/17,10014.99,10194.99,9964.98,9996.99,556801,3332.33
2020/9/16,9919.98,10194.99,9903,10059.99,1124501,3353.33
2020/9/15,9786,9807,9700.98,9804.99,796101,3268.33
2020/9/14,9798,9963.99,9729.99,9825.99,853901,3275.33
2020/9/11,9613.98,9831.99,9420,9799.98,1927302,3266.66
2020/9/10,9375,9489.99,9375,9463.98,1019301,3154.66
2020/9/9,9372.99,9478.98,9268.98,9319.98,1214801,3106.66
2020/9/8,9300.99,9394.98,9237.99,9393,821201,3131
2020/9/7,9237.99,9363,9160.98,9294,773601,3098
2020/9/4,9336.99,9385.98,9238.98,9261,734401,3087
2020/9/3,9609,9630,9429.99,9456.99,609301,3152.33
2020/9/2,9436.98,9528,9433.98,9498,614201,3166
2020/9/1,9583.98,9645.99,9469.98,9522.99,813101,3174.33
2020/8/31,9345,9585.99,9343.98,9447,903301,3149
2020/8/28,9609,9609,9078,9378.99,1084301,3126.33
2020/8/27,9555,9577.98,9447,9496.98,549801,3165.66
2020/8/26,9510,9543.99,9432.99,9505.98,602501,3168.66
2020/8/25,9624,9690,9580.98,9597,815901,3199
2020/8/24,9549,9657,9547.98,9598.98,503701,3199.66
2020/8/21,9663,9714.99,9555.99,9573.99,821301,3191.33
2020/8/20,9555,9699.99,9552,9600,806001,3200
2020/8/19,9727.98,9766.98,9607.98,9615.99,691301,3205.33
2020/8/18,9639,9780.99,9607.98,9628.98,855601,3209.66
2020/8/17,9765.99,9792,9610.98,9616.98,590101,3205.66
2020/8/14,9759.99,9909.99,9726,9834,1074101,3278
2020/8/13,9585,9751.98,9519.99,9702.99,1200001,3234.33
2020/8/12,9370.98,9513.99,9267,9469.98,999401,3156.66
2020/8/11,9231,9430.98,9181.98,9370.98,1104201,3123.66
2020/8/7,9229.98,9324,9150.99,9324,1181201,3108
2020/8/6,9151.98,9247.98,9096,9208.98,654701,3069.66
2020/8/5,9150,9217.98,9078.99,9180.99,824801,3060.33
2020/8/4,9219.99,9459.99,9111,9124.98,1015301,3041.66
2020/8/3,9252,9288,8934.99,9177,1548702,3059
2020/7/31,9399.99,9478.98,9249.99,9258,1537902,3086
2020/7/30,9487.98,9555,9414,9480.99,1080801,3160.33
2020/7/29,9478.98,9753,9460.98,9597,1774502,3199
2020/7/28,9399.99,9564.99,9225.99,9556.98,4119704,3185.66
2020/7/27,8367.99,8712,8358.99,8665.98,1322901,2888.66
2020/7/22,8700.99,8718,8374.98,8415,1720402,2805
2020/7/21,8518.98,8842.98,8517.99,8823.99,1557802,2941.33
2020/7/20,8320.98,8424.99,8247.99,8353.98,565201,2784.66
2020/7/17,8310,8374.98,8274.99,8307,709001,2769
2020/7/16,8379.99,8415,8181,8238,1524002,2746
2020/7/15,8442.99,8637,8373.99,8569.98,1075001,2856.66
2020/7/14,8469.99,8578.98,8445,8455.98,706501,2818.66
2020/7/13,8460.99,8580,8325.99,8575.98,976601,2858.66
2020/7/10,8367,8559.99,8362.98,8458.98,1597602,2819.66
2020/7/9,8379.99,8430.99,8256,8332.98,1337301,2777.66
2020/7/8,8584.98,8670,8514,8515.98,1114201,2838.66
2020/7/7,8610.99,8634,8511,8571,1367101,2857
2020/7/6,8598.99,8701.98,8550,8670,704301,2890
2020/7/3,8652.99,8658.99,8493,8620.98,812201,2873.66
2020/7/2,8565,8670.99,8470.98,8557.98,1120701,2852.66
2020/7/1,8859,8868.99,8539.98,8562.99,1083601,2854.33
2020/6/30,8952,8988,8790.99,8805.99,1201701,2935.33
